neighbourhood,date,avg_price,available_listings
"Brightwood Park, Crestwood, Petworth",2024-06-21,117.6,35
"Brightwood Park, Crestwood, Petworth",2024-06-22,123.08695652173913,46
"Brightwood Park, Crestwood, Petworth",2024-06-23,146.9718309859155,71
"Brightwood Park, Crestwood, Petworth",2024-06-24,140.8732394366197,71
"Brightwood Park, Crestwood, Petworth",2024-06-25,143.65,60
"Brightwood Park, Crestwood, Petworth",2024-06-26,144.86153846153846,65
"Brightwood Park, Crestwood, Petworth",2024-06-27,146.51388888888889,72
"Brightwood Park, Crestwood, Petworth",2024-06-28,148.04285714285714,70
"Brightwood Park, Crestwood, Petworth",2024-06-29,150.19718309859155,71
"Brightwood Park, Crestwood, Petworth",2024-06-30,137.64814814814815,108
"Brightwood Park, Crestwood, Petworth",2024-07-01,145.4732824427481,131
"Brightwood Park, Crestwood, Petworth",2024-07-02,149.86324786324786,117
"Brightwood Park, Crestwood, Petworth",2024-07-03,141.0097087378641,103
"Brightwood Park, Crestwood, Petworth",2024-07-04,144.57647058823528,85
"Brightwood Park, Crestwood, Petworth",2024-07-05,135.1,90
"Brightwood Park, Crestwood, Petworth",2024-07-06,130.41237113402062,97
"Brightwood Park, Crestwood, Petworth",2024-07-07,134.82758620689654,116
"Brightwood Park, Crestwood, Petworth",2024-07-08,138.62809917355372,121
"Brightwood Park, Crestwood, Petworth",2024-07-09,141.68032786885246,122
"Brightwood Park, Crestwood, Petworth",2024-07-10,139.85833333333332,120
"Brightwood Park, Crestwood, Petworth",2024-07-11,137.64406779661016,118
"Brightwood Park, Crestwood, Petworth",2024-07-12,134.10714285714286,112
"Brightwood Park, Crestwood, Petworth",2024-07-13,131.26315789473685,114
"Brightwood Park, Crestwood, Petworth",2024-07-14,139.3969465648855,131
"Brightwood Park, Crestwood, Petworth",2024-07-15,139.67407407407407,135
"Brightwood Park, Crestwood, Petworth",2024-07-16,138.75,140
"Brightwood Park, Crestwood, Petworth",2024-07-17,136.5182481751825,137
"Brightwood Park, Crestwood, Petworth",2024-07-18,128.8905109489051,137
"Brightwood Park, Crestwood, Petworth",2024-07-19,123.47619047619048,126
"Brightwood Park, Crestwood, Petworth",2024-07-20,125.5327868852459,122
"Brightwood Park, Crestwood, Petworth",2024-07-21,135.0229007633588,131
"Brightwood Park, Crestwood, Petworth",2024-07-22,130.65185185185186,135
"Brightwood Park, Crestwood, Petworth",2024-07-23,130.89705882352942,136
"Brightwood Park, Crestwood, Petworth",2024-07-24,126.68382352941177,136
"Brightwood Park, Crestwood, Petworth",2024-07-25,127.59689922480621,129
"Brightwood Park, Crestwood, Petworth",2024-07-26,124.06140350877193,114
"Brightwood Park, Crestwood, Petworth",2024-07-27,122.00847457627118,118
"Brightwood Park, Crestwood, Petworth",2024-07-28,125.26771653543307,127
"Brightwood Park, Crestwood, Petworth",2024-07-29,132.06382978723406,141
"Brightwood Park, Crestwood, Petworth",2024-07-30,129.77142857142857,140
"Brightwood Park, Crestwood, Petworth",2024-07-31,128.02898550724638,138
"Brightwood Park, Crestwood, Petworth",2024-08-01,130.5187969924812,133
"Brightwood Park, Crestwood, Petworth",2024-08-02,130.5609756097561,123
"Brightwood Park, Crestwood, Petworth",2024-08-03,126.67669172932331,133
"Brightwood Park, Crestwood, Petworth",2024-08-04,127.89542483660131,153
"Brightwood Park, Crestwood, Petworth",2024-08-05,134.1987951807229,166
"Brightwood Park, Crestwood, Petworth",2024-08-06,136.15028901734104,173
