listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
3686,True,1,1,1,1,2025-03-14,False
3943,True,14,44,74,349,2025-03-13,False
4197,True,21,47,77,352,2025-03-13,False
4529,True,29,59,89,179,2025-03-13,False
5589,True,23,38,68,158,2025-03-13,False
7103,True,0,5,35,310,2025-03-13,False
11785,True,2,2,14,194,2025-03-14,False
12442,True,0,4,11,218,2025-03-13,True
13744,True,0,0,0,39,2025-03-13,False
14218,True,15,23,35,257,2025-03-13,False
17131,True,0,0,0,225,2025-03-13,False
27682,True,0,8,27,220,2025-03-13,False
32087,True,19,48,64,154,2025-03-13,True
52092,True,0,0,12,256,2025-03-13,False
62122,True,0,7,15,175,2025-03-13,False
65024,True,0,0,0,132,2025-03-13,False
67483,True,0,29,32,240,2025-03-13,False
93551,True,1,1,1,1,2025-03-14,False
116951,True,29,59,89,364,2025-03-13,False
150109,True,0,0,0,20,2025-03-13,False
153545,True,0,1,31,306,2025-03-15,False
155859,True,16,46,72,175,2025-03-13,False
161913,True,30,60,90,365,2025-03-15,False
164069,True,12,42,72,339,2025-03-13,False
174808,True,25,55,85,175,2025-03-13,False
175608,True,0,7,7,225,2025-03-15,False
178395,True,30,60,90,365,2025-03-13,False
196429,True,23,53,83,358,2025-03-13,False
198685,True,17,27,39,198,2025-03-14,False
201116,True,0,29,48,304,2025-03-13,False
204741,True,0,0,0,38,2025-03-13,False
223203,True,30,60,90,365,2025-03-13,True
223922,True,0,0,0,0,2025-03-14,True
251611,True,30,60,90,365,2025-03-14,False
251615,True,30,60,90,365,2025-03-13,True
251619,True,30,60,90,365,2025-03-15,True
262629,True,10,40,70,345,2025-03-13,False
290001,True,0,15,30,86,2025-03-13,False
296196,True,5,9,12,183,2025-03-13,True
299030,True,11,41,71,346,2025-03-13,False
303723,True,28,58,88,171,2025-03-14,False
306465,True,30,60,74,105,2025-03-13,False
313405,True,13,43,73,348,2025-03-15,False
339208,True,4,10,22,34,2025-03-13,True
355527,True,1,3,14,158,2025-03-13,False
382111,True,13,27,37,49,2025-03-13,False
409582,True,11,41,71,71,2025-03-14,False
437005,True,29,59,89,364,2025-03-13,False
446147,True,23,53,83,173,2025-03-13,False
453159,True,1,5,8,144,2025-03-13,False
453315,True,4,6,6,194,2025-03-13,False
501809,True,30,60,90,365,2025-03-14,False
525672,True,4,18,35,308,2025-03-13,False
538598,True,0,0,0,0,2025-03-14,False
542144,True,0,0,0,258,2025-03-13,False
561697,True,0,16,21,262,2025-03-13,False
563607,True,0,0,0,0,2025-03-14,True
654835,True,30,60,90,365,2025-03-13,False
688914,True,30,60,90,365,2025-03-13,False
722114,True,9,27,57,57,2025-03-13,False
723716,True,9,30,55,87,2025-03-13,False
748316,True,1,13,14,271,2025-03-13,False
763569,True,0,0,0,90,2025-03-13,False
792578,True,30,60,90,365,2025-03-13,False
794213,True,7,37,56,331,2025-03-15,False
800076,True,13,24,54,234,2025-03-13,False
808830,True,28,48,75,346,2025-03-13,False
828497,True,0,14,23,148,2025-03-13,False
841260,True,30,60,90,365,2025-03-14,False
842418,True,30,60,90,90,2025-03-13,False
860336,True,12,34,64,154,2025-03-13,False
860776,True,8,38,68,343,2025-03-14,False
861775,True,29,59,89,364,2025-03-13,False
873182,True,29,59,89,269,2025-03-13,False
879105,True,28,58,88,88,2025-03-13,False
883653,True,0,0,0,18,2025-03-13,False
886283,True,0,0,30,305,2025-03-13,False
887461,True,1,1,1,1,2025-03-14,False
888029,True,2,32,62,337,2025-03-14,False
892183,True,1,13,24,252,2025-03-14,False
893529,True,30,60,90,365,2025-03-13,False
898543,True,0,0,12,223,2025-03-13,False
898544,True,2,2,29,304,2025-03-13,False
902573,True,28,58,88,363,2025-03-13,False
925318,True,0,0,0,0,2025-03-14,True
945426,True,0,0,0,0,2025-03-13,True
973608,True,30,60,90,365,2025-03-13,False
997859,True,1,31,36,259,2025-03-13,True
1026034,True,8,33,59,334,2025-03-15,False
1092713,True,17,38,58,148,2025-03-13,False
1205516,True,0,0,0,0,2025-03-14,True
1245292,True,1,1,1,1,2025-03-14,False
1297417,True,10,36,57,297,2025-03-14,False
1433344,True,4,10,17,200,2025-03-14,False
1472332,True,25,55,85,360,2025-03-15,True
1484387,True,30,60,90,365,2025-03-13,False
1488282,True,1,17,45,222,2025-03-14,False
1520425,True,0,4,10,93,2025-03-13,False
1537822,True,0,0,0,0,2025-03-14,False
1571112,True,0,1,4,175,2025-03-13,False
1588843,True,0,13,13,85,2025-03-14,False
1628328,True,3,16,26,297,2025-03-13,False
1641184,True,0,0,17,292,2025-03-13,False
1667080,True,0,1,14,19,2025-03-14,False
1688139,True,23,44,44,53,2025-03-14,False
1750913,True,0,0,0,0,2025-03-13,False
1761677,True,3,10,23,246,2025-03-13,True
1778080,True,11,38,38,284,2025-03-13,False
1789722,True,3,14,31,112,2025-03-14,False
1806338,True,13,27,51,316,2025-03-13,False
1813962,True,0,1,1,250,2025-03-14,False
1824864,True,17,47,70,247,2025-03-13,False
1825234,True,30,60,90,365,2025-03-13,True
1838623,True,1,1,1,1,2025-03-14,False
1841397,True,0,0,0,0,2025-03-13,False
1860120,True,0,0,0,0,2025-03-14,False
1864715,True,28,58,88,363,2025-03-13,True
1865861,True,0,10,35,35,2025-03-14,False
1867513,True,22,52,82,357,2025-03-13,True
1901631,True,9,22,36,36,2025-03-13,False
1936134,True,5,20,38,267,2025-03-13,False
2060129,True,1,1,1,1,2025-03-14,False
2097166,True,7,17,27,27,2025-03-13,False
2111965,True,27,57,87,362,2025-03-13,False
