host_id,host_listings_total_count,host_listings_entire_homes_count,host_listings_private_rooms_count,host_listings_shared_rooms_count
4645,1,0,1,0
5059,5,0,5,0
5061,2,0,2,0
5803,2,0,2,0
6527,1,1,0,0
17633,27,27,0,0
32015,4,1,3,0
53927,1,1,0,0
36646,2,1,1,0
138459,11,0,11,0
50148,2,2,0,0
301975,1,1,0,0
315148,37,1,36,0
332901,1,1,0,0
481929,4,0,4,0
723470,1,1,0,0
738459,4,3,1,0
745305,2,1,1,0
767543,2,1,1,0
835242,1,0,1,0
852801,2,1,1,0
956417,1,1,0,0
966613,1,0,1,0
983611,1,1,0,0
1005751,2,0,2,0
1159505,4,0,4,0
1505235,1,1,0,0
1528235,1,1,0,0
1541062,3,1,2,0
1563230,1,1,0,0
1722407,1,1,0,0
1096793,1,1,0,0
1907809,1,1,0,0
2038963,1,1,0,0
2170422,2,0,2,0
2215579,1,1,0,0
40168,1,1,0,0
2252538,1,1,0,0
2583808,3,3,0,0
2645588,1,1,0,0
2666087,1,1,0,0
2761762,4,4,0,0
2771266,2,2,0,0
1671809,1,0,1,0
3517743,4,0,4,0
1565502,1,1,0,0
3138065,2,2,0,0
1399272,1,1,0,0
4027780,1,1,0,0
4071043,4,1,3,0
3885360,1,1,0,0
3765717,1,0,1,0
3825475,1,0,1,0
2236092,1,1,0,0
511136,4,1,3,0
4608059,1,1,0,0
4098280,1,0,1,0
1541121,1,1,0,0
4698675,1,1,0,0
4280278,2,2,0,0
4752493,1,0,1,0
4795247,3,3,0,0
4977214,1,1,0,0
5121445,1,0,1,0
1662757,4,4,0,0
2070536,1,1,0,0
3672670,14,1,13,0
5448602,4,1,3,0
1813448,1,1,0,0
7703359,3,3,0,0
7882953,3,0,3,0
2639916,1,0,1,0
2629218,2,2,0,0
7777552,2,2,0,0
8199495,1,1,0,0
8354112,2,2,0,0
8654665,1,1,0,0
8713526,1,0,1,0
8828921,1,1,0,0
476581,1,1,0,0
9210898,1,1,0,0
9260186,3,3,0,0
9335278,1,1,0,0
9391057,2,2,0,0
9462131,2,0,2,0
3045892,1,1,0,0
9550761,1,1,0,0
4176601,1,0,1,0
9542055,2,0,2,0
10470695,1,1,0,0
9419684,26,26,0,0
9011212,3,3,0,0
10017900,1,1,0,0
10292686,16,16,0,0
3073728,4,3,1,0
9354986,5,0,5,0
11190236,1,0,1,0
774839,1,1,0,0
3574033,2,2,0,0
11630609,1,1,0,0
743745,2,0,2,0
11788216,1,1,0,0
8041566,1,1,0,0
4073665,1,1,0,0
11970274,1,0,1,0
12062787,1,1,0,0
6355960,3,0,3,0
12615669,1,0,1,0
4690322,1,1,0,0
11559071,4,1,3,0
12803481,1,0,1,0
12804388,2,0,2,0
11133326,1,1,0,0
11392153,1,1,0,0
7737475,5,1,4,0
13433584,1,1,0,0
13505475,1,1,0,0
2564662,1,1,0,0
8519659,2,2,0,0
1864688,2,2,0,0
14275599,3,0,3,0
14692970,7,7,0,0
5487930,15,2,13,0
15744022,1,1,0,0
15059128,1,1,0,0
5968774,1,1,0,0
16213289,1,1,0,0
14139251,1,1,0,0
16750072,1,1,0,0
17078364,1,1,0,0
5845658,1,1,0,0
2631976,1,1,0,0
17403695,3,1,2,0
10327823,1,1,0,0
14448941,1,1,0,0
17818537,1,1,0,0
5872012,2,2,0,0
5047005,1,1,0,0
18332074,1,1,0,0
9703984,1,0,1,0
13242517,1,1,0,0
18466625,1,1,0,0
18657916,5,0,5,0
19301676,1,1,0,0
19143862,7,0,7,0
1201707,2,1,1,0
1505552,1,1,0,0
476901,1,1,0,0
20236500,1,1,0,0
20548311,1,1,0,0
17672355,1,1,0,0
9581687,3,0,3,0
7808700,1,1,0,0
21032851,1,1,0,0
21132530,1,1,0,0
2071346,4,1,3,0
21506582,3,1,2,0
347943,1,1,0,0
22461157,1,1,0,0
4192192,2,2,0,0
7920042,2,1,1,0
8043437,7,0,7,0
23247942,1,1,0,0
23254878,1,1,0,0
22756175,1,0,1,0
23193071,15,15,0,0
22731277,3,3,0,0
5688329,2,2,0,0
2534048,1,1,0,0
23859573,1,1,0,0
17207062,3,3,0,0
245078,1,1,0,0
21569885,1,0,1,0
24001443,1,1,0,0
5243080,5,5,0,0
24426199,2,1,1,0
24447822,1,1,0,0
24479523,1,1,0,0
21427410,1,1,0,0
14008393,1,1,0,0
3615132,1,1,0,0
24914253,3,3,0,0
5356790,3,0,3,0
12710712,1,1,0,0
25363242,2,0,2,0
25447150,1,1,0,0
21910309,2,2,0,0
20056719,2,1,1,0
25759283,1,1,0,0
2726546,3,2,1,0
25969674,2,2,0,0
10172779,1,1,0,0
22801633,4,4,0,0
3936592,3,0,3,0
22239362,2,2,0,0
26667291,1,1,0,0
26875971,1,1,0,0
4440623,1,1,0,0
19361397,1,1,0,0
10295815,2,2,0,0
27550391,2,2,0,0
27843930,1,1,0,0
25338537,1,1,0,0
24547564,1,1,0,0
2828498,1,0,1,0
29347194,1,0,1,0
10152762,1,1,0,0
6336395,1,1,0,0
7478562,1,1,0,0
6094598,1,0,1,0
30664423,1,1,0,0
7495211,1,1,0,0
15274203,1,0,1,0
29712821,1,0,1,0
30283594,53,53,0,0
5571655,1,0,1,0
2379779,3,2,1,0
783034,1,1,0,0
27211012,2,2,0,0
7774762,1,1,0,0
9581259,2,2,0,0
34312,1,1,0,0
32959018,2,2,0,0
32837957,2,0,2,0
18896296,1,0,1,0
22653397,2,0,2,0
20282,2,1,1,0
2374185,3,3,0,0
