listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
3686,4645,0,38.86339,-76.98889,1,1.0,1.0,2.0,60.0
3943,5059,1,38.91195,-77.00456,2,1.0,1.0,1.0,63.0
4197,5061,2,38.88719,-76.99472,1,1.5,1.0,1.0,128.0
4529,5803,3,38.90585,-76.94469,2,1.0,1.0,2.0,64.0
5589,6527,4,38.91887,-77.04008,3,,1.0,,150.0
7103,17633,5,38.91999,-77.09774,2,1.0,1.0,2.0,74.0
11785,32015,6,38.92622,-77.07591,4,1.0,1.0,3.0,85.0
12442,32015,6,38.92756,-77.07667,2,1.5,1.0,1.0,52.0
13744,53927,7,38.92836,-77.03136,2,1.0,1.0,2.0,125.0
14218,32015,6,38.92668,-77.07686,2,1.5,1.0,1.0,52.0
17131,32015,6,38.92644,-77.07646,2,1.5,1.0,1.0,52.0
27682,36646,8,38.9665,-77.00645,1,1.0,1.0,1.0,70.0
32087,138459,4,38.91766,-77.04598,2,1.0,1.0,1.0,268.0
52092,50148,9,38.9077,-77.02431,4,,2.0,,153.0
62122,301975,4,38.92238,-77.04709,3,1.0,2.0,2.0,84.0
65024,315148,1,38.91717,-77.0085,1,1.0,1.0,1.0,35.0
67483,332901,7,38.934628,-77.029839,3,1.0,1.0,2.0,76.0
93551,481929,10,38.91433,-77.01876,2,1.5,1.0,1.0,79.0
116951,481929,10,38.91436,-77.0181,2,1.5,1.0,2.0,71.0
150109,723470,11,38.91525,-77.04001,2,,1.0,,148.0
153545,738459,12,38.94286,-77.04417,1,2.0,1.0,1.0,48.0
155859,745305,13,38.96628,-77.0309,1,1.0,1.0,1.0,61.0
161913,767543,11,38.91296,-77.04639,1,1.0,1.0,1.0,99.0
164069,5059,1,38.91366,-77.00803,2,1.0,1.0,1.0,81.0
174808,835242,0,38.86432,-76.98749,2,1.0,1.0,1.0,95.0
175608,50148,9,38.90756,-77.02212,4,1.0,2.0,2.0,59.0
178395,852801,13,38.96165,-77.01858,1,1.5,1.0,4.0,255.0
196429,956417,13,38.96923,-77.02041,3,1.0,0.0,2.0,119.0
198685,966613,1,38.93395,-77.01625,2,1.5,1.0,1.0,59.0
201116,983611,13,38.97474,-77.01997,2,1.0,1.0,2.0,80.0
204741,1005751,14,38.82768,-76.99624,2,1.0,1.0,1.0,37.0
223203,1159505,15,38.98853,-77.04441,2,1.5,1.0,1.0,81.0
223922,738459,12,38.94482,-77.04437,3,1.5,1.0,2.0,130.0
251611,1159505,15,38.98853,-77.04441,3,1.5,1.0,2.0,81.0
251615,1159505,15,38.98853,-77.04441,2,1.5,1.0,1.0,81.0
251619,1159505,15,38.98853,-77.04441,2,1.5,1.0,1.0,81.0
262629,36646,8,38.96691,-77.0044,1,1.0,1.0,1.0,58.0
290001,1505235,9,38.91001,-77.02563,2,1.0,1.0,1.0,199.0
296196,1528235,11,38.9146,-77.03602,4,1.0,1.0,2.0,128.0
299030,1541062,15,38.9806,-77.03084,2,1.0,1.0,2.0,86.0
303723,1563230,10,38.91611,-77.02662,2,,1.0,,135.0
306465,767543,11,38.91297,-77.0465,4,,2.0,,148.0
313405,1541062,15,38.9793,-77.0283,2,1.0,1.0,1.0,88.0
339208,1722407,16,38.89094,-76.93638,6,1.0,2.0,3.0,72.0
355527,1096793,2,38.88408,-77.0035,3,1.0,1.0,1.0,184.0
382111,1907809,2,38.89099,-76.99458,4,1.0,1.0,1.0,140.0
409582,2038963,2,38.88306,-76.99497,2,1.0,0.0,1.0,190.0
437005,2170422,0,38.86256,-76.98689,2,2.0,1.0,1.0,345.0
446147,2215579,17,38.90549,-77.02847,2,,1.0,,226.0
453159,40168,2,38.87772,-76.985,5,2.0,2.0,3.0,118.0
453315,2252538,18,38.89538,-76.98648,2,1.0,1.0,1.0,95.0
501809,481929,10,38.91454,-77.01814,2,1.5,1.0,2.0,68.0
525672,2583808,2,38.88183,-76.98911,4,1.0,1.0,2.0,129.0
538598,2645588,18,38.89881,-76.99578,4,,2.0,,140.0
542144,2666087,2,38.88745,-76.99293,2,1.0,1.0,1.0,123.0
561697,2761762,1,38.91096,-77.00858,6,,1.0,,102.0
563607,2771266,11,38.91564,-77.03796,2,1.0,0.0,1.0,86.0
654835,1671809,19,38.91504,-77.07064,2,1.0,1.0,2.0,139.0
688914,3517743,20,38.85045,-76.97992,2,1.0,1.0,1.0,90.0
722114,1565502,7,38.9237,-77.0271,6,1.0,0.0,2.0,86.0
723716,3138065,7,38.93605,-77.04289,1,1.0,0.0,1.0,59.0
748316,1399272,18,38.89707,-76.9881,2,1.0,1.0,1.0,125.0
763569,738459,21,38.93624,-77.05813,2,1.0,1.0,1.0,70.0
792578,4027780,22,38.88529,-76.9509,6,,3.0,,76.0
794213,4071043,4,38.92479,-77.04149,5,2.0,2.0,3.0,160.0
800076,3885360,10,38.91646194458008,-77.03011322021484,2,1.0,0.0,1.0,140.0
808830,3765717,6,38.92087,-77.07631,6,2.5,2.0,2.0,119.0
828497,3825475,23,38.94291,-77.07173,6,2.0,3.0,3.0,165.0
841260,315148,12,38.93719,-77.02335,1,2.0,1.0,1.0,35.0
842418,2236092,17,38.89898,-77.01629,2,1.5,1.0,1.0,175.0
860336,511136,11,38.90847,-77.04681,2,1.0,1.0,2.0,126.0
860776,315148,10,38.91785,-77.01498,1,3.0,1.0,2.0,28.0
861775,3517743,20,38.8491,-76.97982,2,1.0,1.0,1.0,50.0
873182,4608059,8,38.95345,-76.99504,3,1.0,1.0,2.0,108.0
879105,4098280,2,38.88561,-77.00151,2,1.0,1.0,1.0,89.0
883653,1541121,7,38.9356,-77.04468,7,3.5,4.0,4.0,245.0
886283,4698675,23,38.94492,-77.09234,2,1.0,1.0,1.0,100.0
887461,315148,12,38.93788,-77.02313,1,2.0,1.0,1.0,27.0
888029,315148,7,38.93664,-77.02298,1,2.0,1.0,1.0,34.0
892183,4280278,9,38.90746,-77.02716,10,,4.0,,153.0
893529,4752493,1,38.91223,-77.01067,1,1.0,1.0,1.0,350.0
898543,4795247,24,38.90153,-77.05434,5,,3.0,,186.0
898544,4795247,24,38.8996,-77.05277,5,,3.0,,186.0
902573,481929,9,38.91054,-77.02149,2,1.0,1.0,1.0,80.0
925318,4977214,12,38.9413,-77.03284,2,1.0,1.0,1.0,46.0
945426,5121445,23,38.9604,-77.08253,2,1.0,1.0,2.0,83.0
973608,315148,1,38.91999,-77.01361,1,2.0,0.0,1.0,30.0
997859,1662757,11,38.9135,-77.04356,4,2.0,3.0,3.0,10.0
1026034,2070536,9,38.91007,-77.03316,4,1.0,0.0,1.0,165.0
1092713,511136,11,38.90989,-77.04602,6,1.0,1.0,3.0,199.0
1205516,3672670,25,38.87164,-77.01247,1,1.0,1.0,1.0,49.0
1245292,5448602,26,38.96594,-77.078,2,1.0,1.0,1.0,76.0
1297417,1813448,9,38.91351,-77.03112,3,1.0,1.0,2.0,167.0
1433344,7703359,2,38.88197,-76.99537,6,3.0,3.0,3.0,336.0
1472332,7882953,27,38.94858,-76.99163,2,1.0,1.0,1.0,65.0
