listing_id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
3686,31,365,31.0,31.0,365.0,365.0,31.0,365.0
3943,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
4197,4,29,4.0,4.0,1125.0,1125.0,4.0,1125.0
4529,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0
5589,50,90,31.0,31.0,90.0,90.0,31.0,90.0
7103,31,1125,31.0,31.0,31.0,1125.0,31.0,504.5
11785,31,730,31.0,31.0,730.0,730.0,31.0,730.0
12442,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
13744,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0
14218,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
17131,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
27682,90,360,90.0,90.0,360.0,360.0,90.0,360.0
32087,1,30,1.0,3.0,1125.0,1125.0,1.9,1125.0
52092,31,183,31.0,31.0,183.0,183.0,31.0,183.0
62122,5,150,1.0,5.0,150.0,150.0,5.0,150.0
65024,31,730,31.0,31.0,730.0,730.0,31.0,730.0
67483,31,365,31.0,31.0,365.0,365.0,31.0,365.0
93551,31,365,31.0,31.0,365.0,365.0,31.0,365.0
116951,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
150109,31,365,31.0,31.0,365.0,365.0,31.0,365.0
153545,30,1120,30.0,30.0,1120.0,1120.0,30.0,1120.0
155859,31,62,31.0,31.0,1125.0,1125.0,31.0,1125.0
161913,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
164069,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
174808,2,20,2.0,2.0,20.0,20.0,2.0,20.0
175608,31,365,31.0,31.0,365.0,365.0,31.0,365.0
178395,31,730,31.0,31.0,730.0,730.0,31.0,730.0
196429,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
198685,31,365,31.0,31.0,365.0,365.0,31.0,365.0
201116,28,730,28.0,28.0,730.0,730.0,28.0,730.0
204741,31,210,31.0,31.0,210.0,210.0,31.0,210.0
223203,2,3365,2.0,2.0,3365.0,3365.0,2.0,3365.0
223922,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
251611,2,3365,2.0,2.0,3365.0,3365.0,2.0,3365.0
251615,2,1825,2.0,2.0,1825.0,1825.0,2.0,1825.0
251619,2,1000,2.0,2.0,1000.0,1000.0,2.0,1000.0
262629,90,400,90.0,90.0,400.0,400.0,90.0,400.0
290001,2,14,2.0,2.0,14.0,14.0,2.0,14.0
296196,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0
299030,1,90,1.0,1.0,90.0,90.0,1.0,90.0
303723,31,180,31.0,31.0,180.0,180.0,31.0,180.0
306465,60,180,60.0,60.0,180.0,180.0,60.0,180.0
313405,1,180,1.0,1.0,180.0,180.0,1.0,180.0
339208,4,365,4.0,4.0,1125.0,1125.0,4.0,1125.0
355527,2,25,2.0,2.0,25.0,25.0,2.0,25.0
382111,2,29,3.0,3.0,29.0,29.0,3.0,29.0
409582,2,1125,2.0,5.0,1125.0,1125.0,4.2,1125.0
437005,31,120,31.0,31.0,120.0,120.0,31.0,120.0
446147,150,730,150.0,150.0,730.0,730.0,150.0,730.0
453159,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
453315,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0
501809,31,365,31.0,31.0,365.0,365.0,31.0,365.0
525672,2,90,2.0,7.0,90.0,90.0,6.2,90.0
538598,30,1124,30.0,30.0,1124.0,1124.0,30.0,1124.0
542144,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
561697,2,15,2.0,2.0,15.0,15.0,2.0,15.0
563607,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
654835,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
688914,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
722114,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0
723716,5,240,3.0,3.0,240.0,240.0,3.0,240.0
748316,2,15,2.0,2.0,1125.0,1125.0,2.0,1125.0
763569,180,1000,180.0,180.0,1000.0,1000.0,180.0,1000.0
792578,2,5,2.0,2.0,5.0,5.0,2.0,5.0
794213,1,365,1.0,1.0,365.0,365.0,1.0,365.0
800076,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
808830,1,30,1.0,1.0,30.0,30.0,1.0,30.0
828497,3,30,1.0,3.0,30.0,30.0,3.0,30.0
841260,31,360,31.0,31.0,360.0,360.0,31.0,360.0
842418,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
